validation_rep	validation_fold	rf_model_name	rf_num_features	rf_auroc_mean	rf_auroc_stdv	rf_auprc_mean	rf_auprc_stdv	lr_model_name	lr_num_features	lr_auroc_mean	lr_auroc_stdv	lr_auprc_mean	lr_auprc_stdv
61	1	M2_rf	1	0.58	0.0259	0.786	0.0118	M2_lr	1	0.592	0.00675	0.845	0.0043
61	2	M2_rf	5	0.704	0.0191	0.829	0.0102	M6_lr	1	0.725	0.00788	0.867	0.00708
61	3	M0_rf	2	0.584	0.0299	0.82	0.0189	M1_lr	1	0.609	0.00666	0.844	0.00388
61	4	M0_rf	2	0.613	0.018	0.843	0.013	M1_lr	1	0.602	0.00498	0.844	0.0042
62	0	M0_rf	3	0.611	0.0229	0.838	0.0132	M2_lr	1	0.601	0.00582	0.84	0.00391
62	1	M0_rf	1	0.506	0.0306	0.717	0.0133	M0_lr	1	0.689	0.0198	0.83	0.0237
62	2	M3_rf	3	0.645	0.0211	0.833	0.0166	M3_lr	3	0.639	0.0152	0.795	0.0131
62	3	M2_rf	3	0.683	0.029	0.845	0.0226	M4_lr	1	0.662	0.00628	0.822	0.00706
62	4	M0_rf	4	0.581	0.0196	0.79	0.00929	M3_lr	1	0.575	0.00685	0.781	0.00596
63	0	M0_rf	2	0.547	0.0295	0.774	0.0164	M1_lr	1	0.58	0.00872	0.782	0.00703
63	1	M3_rf	2	0.67	0.0263	0.865	0.0174	M4_lr	1	0.63	0.00989	0.788	0.0069
63	2	M2_rf	3	0.622	0.0288	0.829	0.0232	M1_lr	4	0.667	0.0147	0.851	0.0134
63	3	M4_rf	3	0.661	0.0217	0.856	0.0133	M3_lr	4	0.681	0.0122	0.881	0.00542
63	4	M0_rf	2	0.532	0.0185	0.799	0.0123	M1_lr	1	0.576	0.00727	0.829	0.00627
64	0	M0_rf	5	0.584	0.0226	0.792	0.0188	M2_lr	3	0.622	0.0171	0.802	0.0162
64	1	M1_rf	1	0.591	0.023	0.789	0.0129	M1_lr	1	0.576	0.00898	0.837	0.00451
64	2	M0_rf	2	0.65	0.0269	0.85	0.018	M1_lr	1	0.63	0.00513	0.858	0.00395
64	3	M0_rf	2	0.659	0.0226	0.815	0.0127	M1_lr	1	0.6	0.00661	0.805	0.00609
64	4	M0_rf	3	0.63	0.0247	0.842	0.0175	M2_lr	1	0.598	0.00533	0.842	0.00402
65	0	M0_rf	3	0.577	0.0225	0.787	0.0121	M2_lr	1	0.578	0.00633	0.793	0.00724
65	1	M1_rf	2	0.718	0.0218	0.803	0.015	M2_lr	1	0.766	0.00597	0.866	0.00514
65	2	M0_rf	2	0.642	0.0188	0.864	0.00883	M1_lr	1	0.596	0.00413	0.844	0.0026
65	3	M6_rf	3	0.747	0.0212	0.846	0.0148	M7_lr	2	0.739	0.0179	0.831	0.0138
65	4	M1_rf	2	0.641	0.0177	0.836	0.0121	M2_lr	1	0.624	0.00674	0.847	0.00485
66	0	M1_rf	2	0.643	0.0292	0.863	0.0154	M2_lr	1	0.611	0.00491	0.853	0.00459
66	1	M0_rf	2	0.647	0.0303	0.842	0.0245	M1_lr	1	0.648	0.0069	0.828	0.00832
66	2	M3_rf	1	0.715	0.0333	0.788	0.0206	M3_lr	1	0.661	0.0127	0.816	0.0109
66	3	M1_rf	1	0.534	0.0249	0.768	0.0136	M1_lr	1	0.598	0.00531	0.817	0.00524
66	4	M2_rf	2	0.587	0.0217	0.819	0.0145	M3_lr	1	0.598	0.00521	0.84	0.00379
67	0	M3_rf	3	0.578	0.0255	0.801	0.0204	M5_lr	1	0.6	0.00557	0.78	0.00726
67	1	M1_rf	2	0.603	0.0205	0.828	0.0167	M2_lr	1	0.617	0.00731	0.846	0.00586
67	2	M2_rf	3	0.601	0.0261	0.811	0.0218	M4_lr	1	0.633	0.00442	0.818	0.00464
67	3	M0_rf	2	0.612	0.0229	0.847	0.0143	M1_lr	1	0.586	0.00558	0.84	0.00525
67	4	M0_rf	2	0.661	0.0195	0.861	0.0122	M1_lr	1	0.596	0.00654	0.842	0.00485
68	0	M0_rf	2	0.654	0.0283	0.868	0.0157	M1_lr	1	0.587	0.00659	0.838	0.00482
68	1	M5_rf	2	0.624	0.028	0.842	0.0146	M1_lr	6	0.647	0.0161	0.83	0.015
68	2	M2_rf	3	0.756	0.0277	0.879	0.019	M2_lr	3	0.71	0.0175	0.844	0.0152
68	3	M0_rf	2	0.57	0.0214	0.803	0.0141	M1_lr	1	0.626	0.00737	0.821	0.00833
68	4	M2_rf	3	0.687	0.0207	0.875	0.0112	M2_lr	3	0.651	0.0143	0.852	0.00999
69	0	M1_rf	1	0.565	0.0311	0.784	0.0161	M1_lr	1	0.592	0.00729	0.837	0.00847
69	1	M3_rf	2	0.621	0.019	0.846	0.0122	M4_lr	1	0.602	0.00496	0.848	0.00382
69	2	M3_rf	2	0.642	0.0243	0.793	0.0143	M3_lr	2	0.754	0.013	0.857	0.0109
69	3	M0_rf	2	0.592	0.0241	0.833	0.0144	M1_lr	1	0.572	0.00636	0.829	0.00469
69	4	M1_rf	2	0.64	0.0274	0.857	0.0156	M2_lr	1	0.595	0.00618	0.831	0.00492
70	0	M0_rf	2	0.509	0.0296	0.772	0.0215	M1_lr	1	0.582	0.00727	0.794	0.00845
70	1	M3_rf	3	0.666	0.0223	0.846	0.0194	M1_lr	5	0.651	0.0204	0.814	0.0186
70	2	M3_rf	3	0.708	0.0205	0.856	0.0159	M1_lr	5	0.732	0.0237	0.858	0.0219
70	3	M1_rf	1	0.601	0.0252	0.773	0.0106	M1_lr	1	0.563	0.012	0.798	0.011
70	4	M0_rf	2	0.588	0.0191	0.816	0.0163	M1_lr	1	0.61	0.00684	0.808	0.00897
71	0	M1_rf	8	0.61	0.0202	0.779	0.0144	M8_lr	1	0.628	0.0103	0.788	0.0116
71	1	M1_rf	1	0.56	0.0302	0.777	0.0143	M0_lr	2	0.595	0.0188	0.792	0.0124
71	2	M1_rf	2	0.607	0.022	0.808	0.0145	M2_lr	1	0.652	0.00805	0.813	0.006
71	3	M0_rf	2	0.59	0.0243	0.825	0.0135	M1_lr	1	0.602	0.00733	0.846	0.005
71	4	M1_rf	6	0.597	0.0215	0.8	0.0175	M4_lr	3	0.635	0.0104	0.827	0.00786
72	0	M0_rf	2	0.763	0.0293	0.83	0.0217	M1_lr	1	0.752	0.00906	0.824	0.015
72	1	M3_rf	2	0.643	0.0265	0.808	0.0107	M4_lr	1	0.631	0.00687	0.843	0.00814
72	2	M2_rf	2	0.583	0.0343	0.81	0.0238	M3_lr	1	0.586	0.0068	0.805	0.00739
72	3	M0_rf	2	0.637	0.033	0.86	0.0226	M1_lr	1	0.617	0.00604	0.81	0.00495
72	4	M0_rf	2	0.64	0.0225	0.859	0.015	M1_lr	1	0.568	0.0073	0.828	0.00452
73	1	M4_rf	2	0.682	0.023	0.817	0.0113	M4_lr	2	0.717	0.0179	0.835	0.0157
73	2	M0_rf	2	0.596	0.0218	0.835	0.0138	M1_lr	1	0.579	0.00814	0.832	0.00639
73	3	M0_rf	2	0.638	0.0236	0.861	0.0123	M1_lr	1	0.594	0.00559	0.841	0.00487
73	4	M6_rf	4	0.722	0.0199	0.872	0.0191	M2_lr	8	0.682	0.0305	0.815	0.0272
74	0	M0_rf	1	0.466	0.027	0.746	0.0129	M0_lr	1	0.548	0.00599	0.787	0.00855
74	1	M0_rf	2	0.52	0.0308	0.779	0.019	M1_lr	1	0.58	0.00838	0.821	0.00808
74	2	M7_rf	2	0.727	0.0291	0.834	0.0188	M7_lr	2	0.703	0.00898	0.832	0.0107
74	3	M0_rf	2	0.653	0.0264	0.832	0.0158	M1_lr	1	0.634	0.00529	0.793	0.00576
74	4	M1_rf	3	0.619	0.0325	0.808	0.02	M3_lr	1	0.607	0.00642	0.803	0.00661
75	0	M0_rf	2	0.592	0.0253	0.832	0.0143	M1_lr	1	0.583	0.00562	0.844	0.00545
75	1	M0_rf	1	0.616	0.0259	0.783	0.0129	M0_lr	1	0.598	0.00929	0.814	0.00991
75	2	M1_rf	3	0.559	0.0356	0.777	0.0177	M3_lr	1	0.609	0.00946	0.775	0.00681
75	3	M2_rf	3	0.664	0.0355	0.83	0.0284	M0_lr	5	0.645	0.0125	0.778	0.0136
75	4	M4_rf	3	0.596	0.0232	0.811	0.0158	M6_lr	1	0.578	0.00738	0.82	0.00525
76	0	M3_rf	2	0.769	0.0274	0.892	0.0223	M2_lr	3	0.753	0.02	0.888	0.0126
76	1	M0_rf	2	0.599	0.0233	0.839	0.0126	M1_lr	1	0.642	0.00408	0.829	0.0049
76	2	M1_rf	1	0.545	0.0275	0.752	0.0167	M1_lr	1	0.639	0.009	0.785	0.00769
76	3	M1_rf	4	0.599	0.0267	0.823	0.0154	M4_lr	1	0.598	0.00522	0.838	0.00524
76	4	M2_rf	3	0.574	0.0225	0.761	0.0133	M4_lr	1	0.657	0.00906	0.779	0.01
77	0	M0_rf	1	0.52	0.0239	0.718	0.0141	M0_lr	1	0.648	0.0078	0.764	0.011
77	1	M0_rf	2	0.593	0.0229	0.839	0.0158	M1_lr	1	0.605	0.00725	0.848	0.00589
77	2	M0_rf	1	0.628	0.0265	0.798	0.0141	M0_lr	1	0.626	0.00595	0.822	0.00807
