dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
NURSA Protein Complexes	nursa	BL2221 (COL4A3BP)	-0.01072	1	1	0	-1		BL2221 (COL4A3BP)
NURSA Protein Complexes	nursa	BL2129 (RBM15)	-0.01072	1	1	0	-1		BL2129 (RBM15)
NURSA Protein Complexes	nursa	BL551 (SMC2)	-0.049478	0.14528	1	0	-1		BL551 (SMC2)
NURSA Protein Complexes	nursa	BL1520 (FTSJD2)	-0.01072	1	1	0	-1		BL1520 (FTSJD2)
NURSA Protein Complexes	nursa	BL2693 (PRMT1)	-0.030786	0.59027	1	0	-1		BL2693 (PRMT1)
NURSA Protein Complexes	nursa	BL1868 (TRIP4)	-0.02144	0.63027	1	0	-1		BL1868 (TRIP4)
NURSA Protein Complexes	nursa	EPI-1480-1 (PTK2B)	-0.01072	1	1	0	-1		EPI-1480-1 (PTK2B)
NURSA Protein Complexes	nursa	BL1778 (C21orf7)	-0.01072	1	1	0	-1		BL1778 (C21orf7)
NURSA Protein Complexes	nursa	BL8287 (TOR1AIP1)	0.017317	1	1	0	1		BL8287 (TOR1AIP1)
NURSA Protein Complexes	nursa	BL4578 (BTAF1)	-0.01072	1	1	0	-1		BL4578 (BTAF1)
NURSA Protein Complexes	nursa	BL7222 (GCN1L1)	-0.01072	1	1	0	-1		BL7222 (GCN1L1)
NURSA Protein Complexes	nursa	BL5338 (PPP1R14B)	-0.01072	1	1	0	-1		BL5338 (PPP1R14B)
NURSA Protein Complexes	nursa	BL1296 (IRS1)	-0.01072	1	1	0	-1		BL1296 (IRS1)
NURSA Protein Complexes	nursa	BL3627 (KDM3A)	-0.01072	1	1	0	-1		BL3627 (KDM3A)
NURSA Protein Complexes	nursa	BL3609 (MAZ)	-0.01072	1	1	0	-1		BL3609 (MAZ)
NURSA Protein Complexes	nursa	BL7051 (RELA)	-0.0013744	1	1	0	-1		BL7051 (RELA)
NURSA Protein Complexes	nursa	BL2210 (LATS1)	-0.01072	1	1	0	-1		BL2210 (LATS1)
NURSA Protein Complexes	nursa	BL6794 (XPA)	-0.01072	1	1	0	-1		BL6794 (XPA)
NURSA Protein Complexes	nursa	BL3256 (EIF4ENIF1)	0.028037	0.57616	1	0	1		BL3256 (EIF4ENIF1)
NURSA Protein Complexes	nursa	EPI-1586-1 (MAPK1)	-0.040132	0.2465	1	0	-1		EPI-1586-1 (MAPK1)
NURSA Protein Complexes	nursa	BL2241 (NUP214)	-0.01072	1	1	0	-1		BL2241 (NUP214)
NURSA Protein Complexes	nursa	BL7865 (RAPGEF1)	-0.01072	1	1	0	-1		BL7865 (RAPGEF1)
NURSA Protein Complexes	nursa	BL6699 (EIF3H)	-0.01072	1	1	0	-1		BL6699 (EIF3H)
NURSA Protein Complexes	nursa	BL8230 (TOP3A)	-0.069544	0.091469	1	0	-1		BL8230 (TOP3A)
NURSA Protein Complexes	nursa	BL1007 (WAPAL)	-0.01072	1	1	0	-1		BL1007 (WAPAL)
NURSA Protein Complexes	nursa	CBC2202 (RXRB)	-0.01072	1	1	0	-1		CBC2202 (RXRB)
NURSA Protein Complexes	nursa	BL2262 (DOCK9)	-0.030786	0.5967	1	0	-1		BL2262 (DOCK9)
NURSA Protein Complexes	nursa	BL1966 (RANBP1)	-0.08961	0.057739	1	0	-1		BL1966 (RANBP1)
NURSA Protein Complexes	nursa	BL324 (PMS2)	-0.040132	0.24525	1	0	-1		BL324 (PMS2)
NURSA Protein Complexes	nursa	BL1861 (NRIP1)	-0.060198	0.15275	1	0	-1		BL1861 (NRIP1)
NURSA Protein Complexes	nursa	SC-102125 (TAF10)	-0.08961	0.057719	1	0	-1		SC-102125 (TAF10)
NURSA Protein Complexes	nursa	BL2193 (USP4)	-0.01072	1	1	0	-1		BL2193 (USP4)
NURSA Protein Complexes	nursa	BL1308 (WRN)	-0.040132	0.2465	1	0	-1		BL1308 (WRN)
NURSA Protein Complexes	nursa	BL1576 (ESCO1)	-0.030786	0.59162	1	0	-1		BL1576 (ESCO1)
NURSA Protein Complexes	nursa	SC-8005 (ESR1)	-0.040132	0.24693	1	0	-1		SC-8005 (ESR1)
NURSA Protein Complexes	nursa	BL4386 (MAGED2)	-0.040132	0.2465	1	0	-1		BL4386 (MAGED2)
NURSA Protein Complexes	nursa	BL580 (MDC1)	-0.098955	0.03057	1	0	-1		BL580 (MDC1)
NURSA Protein Complexes	nursa	BL5930 (SPAG5)	-0.060198	0.15069	1	0	-1		BL5930 (SPAG5)
NURSA Protein Complexes	nursa	BL2795 (TRIM24)	-0.069544	0.091469	1	0	-1		BL2795 (TRIM24)
NURSA Protein Complexes	nursa	BL5554 (TWISTNB)	-0.030786	0.59429	1	0	-1		BL5554 (TWISTNB)
NURSA Protein Complexes	nursa	BL1737 (CARM1)	-0.040132	0.24484	1	0	-1		BL1737 (CARM1)
NURSA Protein Complexes	nursa	BL1355 (FUS)	-0.040132	0.24525	1	0	-1		BL1355 (FUS)
NURSA Protein Complexes	nursa	SC-66857 (DCLK1)	-0.01072	1	1	0	-1		SC-66857 (DCLK1)
NURSA Protein Complexes	nursa	SC-28749 (NCOA4)	-0.040132	0.24484	1	0	-1		SC-28749 (NCOA4)
NURSA Protein Complexes	nursa	CBC602 (RAD18)	-0.040132	0.2465	1	0	-1		CBC602 (RAD18)
NURSA Protein Complexes	nursa	BL2603 (MED24)	-0.040132	0.2465	1	0	-1		BL2603 (MED24)
NURSA Protein Complexes	nursa	BL1756 (MED23)	-0.040132	0.2465	1	0	-1		BL1756 (MED23)
NURSA Protein Complexes	nursa	BL1873 (NCOA6)	-0.040132	0.2465	1	0	-1		BL1873 (NCOA6)
NURSA Protein Complexes	nursa	CBC191 (ERCC6L)	-0.01072	1	1	0	-1		CBC191 (ERCC6L)
NURSA Protein Complexes	nursa	BL6202 (ESRRA)	-0.069544	0.091469	1	0	-1		BL6202 (ESRRA)
NURSA Protein Complexes	nursa	CBC641 (CC2D1B)	-0.040132	0.2465	1	0	-1		CBC641 (CC2D1B)
