dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GeneSigDB Published Gene Signatures	genesigdb	19235837-TableS2a	-0.018501	0.41472	1	0	-1		19235837-TableS2a
GeneSigDB Published Gene Signatures	genesigdb	20559987-TableS1	-0.020002	0.62628	1	0	-1		20559987-TableS1
GeneSigDB Published Gene Signatures	genesigdb	18801183-SuppTable1	0.1013	0.096229	1	0	1		18801183-SuppTable1
GeneSigDB Published Gene Signatures	genesigdb	16166618-SuppTable4	-0.041559	0.45263	1	0	-1		16166618-SuppTable4
GeneSigDB Published Gene Signatures	genesigdb	17210682-SuppTable2	-0.020002	0.62603	1	0	-1		17210682-SuppTable2
GeneSigDB Published Gene Signatures	genesigdb	15902281-TableS1e	0.037859	0.26897	1	0	1		15902281-TableS1e
GeneSigDB Published Gene Signatures	genesigdb	15637295-Table5	-0.0023059	1	1	0	-1		15637295-Table5
GeneSigDB Published Gene Signatures	genesigdb	18277965-Table4a	0.0015551	1	1	0	1		18277965-Table4a
GeneSigDB Published Gene Signatures	genesigdb	16440291-SuppTable1	0.014693	0.741	1	0	1		16440291-SuppTable1
GeneSigDB Published Gene Signatures	genesigdb	20460173-ImmPortInterleukins	0.030888	0.20744	1	0	1		20460173-ImmPortInterleukins
GeneSigDB Published Gene Signatures	genesigdb	20220088-SuppTable2a	-0.025418	0.5869	1	0	-1		20220088-SuppTable2a
GeneSigDB Published Gene Signatures	genesigdb	16093247-Table2	0.011583	0.59557	1	0	1		16093247-Table2
GeneSigDB Published Gene Signatures	genesigdb	14996724-Table1Up	0.0054161	1	1	0	1		14996724-Table1Up
GeneSigDB Published Gene Signatures	genesigdb	20138012-Table1	0.011583	0.59863	1	0	1		20138012-Table1
GeneSigDB Published Gene Signatures	genesigdb	18358739-Table1a	-0.020056	0.20873	1	0	-1		18358739-Table1a
GeneSigDB Published Gene Signatures	genesigdb	19818417-Table2	0.0054161	1	1	0	1		19818417-Table2
GeneSigDB Published Gene Signatures	genesigdb	16636670-Table3	0.011583	0.59666	1	0	1		16636670-Table3
GeneSigDB Published Gene Signatures	genesigdb	16103064-Table1	0.011583	0.59856	1	0	1		16103064-Table1
GeneSigDB Published Gene Signatures	genesigdb	16423051-Table2	-0.023917	0.12002	1	0	-1		16423051-Table2
GeneSigDB Published Gene Signatures	genesigdb	17638852-Table6	-0.0023059	1	1	0	-1		17638852-Table6
GeneSigDB Published Gene Signatures	genesigdb	17683608-TableS1	0.049442	0.18156	1	0	1		17683608-TableS1
GeneSigDB Published Gene Signatures	genesigdb	17178894-Table1	0.0031103	1	1	0	1		17178894-Table1
GeneSigDB Published Gene Signatures	genesigdb	16230383-Table2	0.011583	0.6011	1	0	1		16230383-Table2
GeneSigDB Published Gene Signatures	genesigdb	20165955-Table2	-0.012334	0.61526	1	0	-1		20165955-Table2
GeneSigDB Published Gene Signatures	genesigdb	20713713-TableS1b	0.011583	0.59751	1	0	1		20713713-TableS1b
GeneSigDB Published Gene Signatures	genesigdb	19038878-SuppTable3	0.0046654	1	1	0	1		19038878-SuppTable3
GeneSigDB Published Gene Signatures	genesigdb	15870177-FigureS3	0.011583	0.59559	1	0	1		15870177-FigureS3
GeneSigDB Published Gene Signatures	genesigdb	15897907-SuppTable5	0.042471	0.12949	1	0	1		15897907-SuppTable5
GeneSigDB Published Gene Signatures	genesigdb	18403781-SuppTable2	-0.0061669	1	1	0	-1		18403781-SuppTable2
GeneSigDB Published Gene Signatures	genesigdb	15558013-FigureS1b	-0.023917	0.11956	1	0	-1		15558013-FigureS1b
GeneSigDB Published Gene Signatures	genesigdb	16353136-Table3	-0.0023059	1	1	0	-1		16353136-Table3
GeneSigDB Published Gene Signatures	genesigdb	19584277-Table2	0.015444	0.58243	1	0	1		19584277-Table2
GeneSigDB Published Gene Signatures	genesigdb	20460173-ImmPortCentroblastvsNaive	0.0085264	1	1	0	1		20460173-ImmPortCentroblastvsNaive
GeneSigDB Published Gene Signatures	genesigdb	17284527-TableS2	0.03861	0.12616	1	0	1		17284527-TableS2
GeneSigDB Published Gene Signatures	genesigdb	15140256-Table2	-0.0061669	1	1	0	-1		15140256-Table2
GeneSigDB Published Gene Signatures	genesigdb	15892885-tableS1b	0.0054161	1	1	0	1		15892885-tableS1b
GeneSigDB Published Gene Signatures	genesigdb	18338247-SuppTable3	0.015444	0.5827	1	0	1		18338247-SuppTable3
