dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	FARSB	-0.044776	0.01026	0.83385	0	-1		FARSB
BioGRID Protein-Protein Interactions	biogrid	CLIC1	-0.044776	0.01015	0.83385	0	-1		CLIC1
BioGRID Protein-Protein Interactions	biogrid	DDX5	-0.055517	0.0089999	0.83385	0	-1		DDX5
BioGRID Protein-Protein Interactions	biogrid	HNRNPA3	-0.055517	0.0087899	0.83385	0	-1		HNRNPA3
BioGRID Protein-Protein Interactions	biogrid	EIF3E	-0.044776	0.01045	0.83385	0	-1		EIF3E
BioGRID Protein-Protein Interactions	biogrid	TRAP1	-0.044776	0.01031	0.83385	0	-1		TRAP1
BioGRID Protein-Protein Interactions	biogrid	MCM2	-0.055517	0.0087599	0.83385	0	-1		MCM2
BioGRID Protein-Protein Interactions	biogrid	SCRIB	-0.044776	0.01052	0.83385	0	-1		SCRIB
BioGRID Protein-Protein Interactions	biogrid	ANXA5	-0.044776	0.0096999	0.83385	0	-1		ANXA5
BioGRID Protein-Protein Interactions	biogrid	CAND1	-0.072816	0.0089399	0.83385	0	-1		CAND1
BioGRID Protein-Protein Interactions	biogrid	RPS18	-0.066259	0.0062799	0.83385	0	-1		RPS18
BioGRID Protein-Protein Interactions	biogrid	RPL22	-0.066259	0.0063699	0.83385	0	-1		RPL22
BioGRID Protein-Protein Interactions	biogrid	RPL30	-0.055517	0.0088699	0.83385	0	-1		RPL30
BioGRID Protein-Protein Interactions	biogrid	EIF3A	-0.044776	0.01045	0.83385	0	-1		EIF3A
BioGRID Protein-Protein Interactions	biogrid	PSMD5	-0.044776	0.01005	0.83385	0	-1		PSMD5
BioGRID Protein-Protein Interactions	biogrid	ATM	-0.044776	0.01045	0.83385	0	-1		ATM
BioGRID Protein-Protein Interactions	biogrid	TRIB3	-0.044776	0.01022	0.83385	0	-1		TRIB3
BioGRID Protein-Protein Interactions	biogrid	DDX21	-0.055517	0.0088899	0.83385	0	-1		DDX21
BioGRID Protein-Protein Interactions	biogrid	KIF2C	-0.044776	0.01022	0.83385	0	-1		KIF2C
BioGRID Protein-Protein Interactions	biogrid	FERMT3	-0.044776	0.01036	0.83385	0	-1		FERMT3
BioGRID Protein-Protein Interactions	biogrid	PCK1	-0.044776	0.01041	0.83385	0	-1		PCK1
BioGRID Protein-Protein Interactions	biogrid	RPL27A	-0.055517	0.0085799	0.83385	0	-1		RPL27A
BioGRID Protein-Protein Interactions	biogrid	SRSF9	-0.044776	0.01036	0.83385	0	-1		SRSF9
BioGRID Protein-Protein Interactions	biogrid	DDX39B	-0.044776	0.01038	0.83385	0	-1		DDX39B
BioGRID Protein-Protein Interactions	biogrid	HNRNPC	-0.044776	0.0106	0.83385	0	-1		HNRNPC
BioGRID Protein-Protein Interactions	biogrid	MCM5	-0.044776	0.01036	0.83385	0	-1		MCM5
BioGRID Protein-Protein Interactions	biogrid	RPS6KA5	-0.055517	0.0085699	0.83385	0	-1		RPS6KA5
BioGRID Protein-Protein Interactions	biogrid	NDUFA2	-0.044776	0.01036	0.83385	0	-1		NDUFA2
BioGRID Protein-Protein Interactions	biogrid	SUPT16H	-0.055517	0.0089199	0.83385	0	-1		SUPT16H
BioGRID Protein-Protein Interactions	biogrid	PRDX3	-0.044776	0.01015	0.83385	0	-1		PRDX3
BioGRID Protein-Protein Interactions	biogrid	FUBP1	-0.044776	0.01003	0.83385	0	-1		FUBP1
BioGRID Protein-Protein Interactions	biogrid	DDX1	-0.044776	0.01036	0.83385	0	-1		DDX1
BioGRID Protein-Protein Interactions	biogrid	SEC24C	-0.044776	0.01036	0.83385	0	-1		SEC24C
BioGRID Protein-Protein Interactions	biogrid	EEF1B2	-0.066259	0.0066099	0.83385	0	-1		EEF1B2
BioGRID Protein-Protein Interactions	biogrid	SSRP1	-0.044776	0.01062	0.83385	0	-1		SSRP1
BioGRID Protein-Protein Interactions	biogrid	KHSRP	-0.044776	0.01011	0.83385	0	-1		KHSRP
BioGRID Protein-Protein Interactions	biogrid	HDGF	-0.044776	0.01045	0.83385	0	-1		HDGF
BioGRID Protein-Protein Interactions	biogrid	LRRC59	-0.044776	0.01036	0.83385	0	-1		LRRC59
BioGRID Protein-Protein Interactions	biogrid	NCSTN	-0.044776	0.0097599	0.83385	0	-1		NCSTN
