dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	homocystinuria	0.031669	0.47029	1	0	1		homocystinuria
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hyperhomocysteinemia	0.053357	0.59733	1	0	1		hyperhomocysteinemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	tyrosinemia	0.024619	0.82843	1	0	1		tyrosinemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	alpha-mannosidosis	0.033853	0.73247	1	0	1		alpha-mannosidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucopolysaccharidosis ii	0.019032	0.84986	1	0	1		mucopolysaccharidosis ii
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucopolysaccharidosis	0.18979	0.17256	1	0	1		mucopolysaccharidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gangliosidosis gm1	0.065961	0.27523	1	0	1		gangliosidosis gm1
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucolipidosis	0.088314	0.12567	1	0	1		mucolipidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	kearns-sayre syndrome	0.023178	0.57901	1	0	1		kearns-sayre syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	chronic progressive external ophthalmoplegia	-0.0023547	0.93504	1	0	-1		chronic progressive external ophthalmoplegia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	timothy syndrome	0.068655	0.48898	1	0	1		timothy syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	centronuclear myopathy	-0.027428	0.52164	1	0	-1		centronuclear myopathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	becker muscular dystrophy	0.038756	0.69367	1	0	1		becker muscular dystrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	progressive muscular atrophy	0.032279	0.49241	1	0	1		progressive muscular atrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hyperuricemia	0.077023	0.36475	1	0	1		hyperuricemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	purine nucleoside phosphorylase deficiency	-0.10772	0.083509	1	0	-1		purine nucleoside phosphorylase deficiency
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	wolff-parkinson-white syndrome	0.022564	0.53626	1	0	1		wolff-parkinson-white syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	sweat gland carcinoma	-0.017298	0.73064	1	0	-1		sweat gland carcinoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	phimosis	-0.0028737	0.91689	1	0	-1		phimosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	trichinosis	0.0012839	1	1	0	1		trichinosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	t-cell large granular lymphocyte leukemia	-0.015585	0.79265	1	0	-1		t-cell large granular lymphocyte leukemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	lymph node tuberculosis	-0.045684	0.04708	1	0	-1		lymph node tuberculosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	complex partial epilepsy	0.031643	0.5769	1	0	1		complex partial epilepsy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	differentiating neuroblastoma	-0.035814	0.47594	1	0	-1		differentiating neuroblastoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	severe nonproliferative diabetic retinopathy	-0.033569	0.12252	1	0	-1		severe nonproliferative diabetic retinopathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	neovascular glaucoma	-0.031782	0.63025	1	0	-1		neovascular glaucoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	dubin-johnson syndrome	0.026198	0.55127	1	0	1		dubin-johnson syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pseudohypoparathyroidism	0.039782	0.57643	1	0	1		pseudohypoparathyroidism
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	lethal midline granuloma	-0.014325	0.73246	1	0	-1		lethal midline granuloma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myeloid sarcoma	-0.11194	0.0095499	1	0	-1		myeloid sarcoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	granulomatous gastritis	0.016659	0.59673	1	0	1		granulomatous gastritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	tenosynovial giant cell tumor	0.026473	0.72967	1	0	1		tenosynovial giant cell tumor
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	amelanotic melanoma	-0.0016563	0.97462	1	0	-1		amelanotic melanoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	acral lentiginous melanoma	0.0054809	0.79055	1	0	1		acral lentiginous melanoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	heart aneurysm	0.000672	0.97787	1	0	1		heart aneurysm
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	coronary aneurysm	-0.0082374	0.79372	1	0	-1		coronary aneurysm
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gliosarcoma	-0.0012468	0.98247	1	0	-1		gliosarcoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gliomatosis cerebri	0.017264	0.59629	1	0	1		gliomatosis cerebri
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	intraductal papilloma	0.024969	0.59608	1	0	1		intraductal papilloma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	placenta accreta	-0.0072581	0.89477	1	0	-1		placenta accreta
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	polyhydramnios	0.037647	0.45432	1	0	1		polyhydramnios
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	funisitis	0.050116	0.55183	1	0	1		funisitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	edwards syndrome	0.016601	0.59598	1	0	1		edwards syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	testicular germ cell cancer	-0.0074441	0.89339	1	0	-1		testicular germ cell cancer
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hemangioma of intra-abdominal structure	-0.0053388	0.89509	1	0	-1		hemangioma of intra-abdominal structure
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	benign breast phyllodes tumor	0.012718	0.72876	1	0	1		benign breast phyllodes tumor
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	toxic pneumonitis	-0.0026515	1	1	0	-1		toxic pneumonitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	necrotizing fasciitis	0.072779	0.11477	1	0	1		necrotizing fasciitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	leiomyomatosis	0.038705	0.45248	1	0	1		leiomyomatosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	diabetic macular edema	-0.0023931	0.98148	1	0	-1		diabetic macular edema
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	atrophic rhinitis	0.023744	0.52365	1	0	1		atrophic rhinitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	vitreous detachment	-0.0019415	1	1	0	-1		vitreous detachment
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	scotoma	0.018473	0.5804	1	0	1		scotoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	perforated corneal ulcer	0.022054	0.59844	1	0	1		perforated corneal ulcer
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	oral submucous fibrosis	-0.017977	0.68743	1	0	-1		oral submucous fibrosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gingival hypertrophy	0.020192	0.55344	1	0	1		gingival hypertrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	transient arthritis	-0.043839	0.21875	1	0	-1		transient arthritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	rectal prolapse	0.023335	0.47562	1	0	1		rectal prolapse
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	poliomyelitis	-0.018456	0.54939	1	0	-1		poliomyelitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myositis fibrosa	0.036054	0.52052	1	0	1		myositis fibrosa
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	acute hemorrhagic leukoencephalitis	-0.012308	0.86449	1	0	-1		acute hemorrhagic leukoencephalitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	optic neuritis	-0.011804	0.83189	1	0	-1		optic neuritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pelizaeus-merzbacher disease	0.011143	0.78907	1	0	1		pelizaeus-merzbacher disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	asphyxia neonatorum	-0.0042116	0.91868	1	0	-1		asphyxia neonatorum
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cauda equina syndrome	-0.028584	0.33009	1	0	-1		cauda equina syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	diffuse idiopathic skeletal hyperostosis	-0.036774	0.090119	1	0	-1		diffuse idiopathic skeletal hyperostosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	alagille syndrome	0.025395	0.52279	1	0	1		alagille syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	otosclerosis	0.070973	0.1593	1	0	1		otosclerosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	granulomatous angiitis	-0.032828	0.45237	1	0	-1		granulomatous angiitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hepatopulmonary syndrome	0.026324	0.66806	1	0	1		hepatopulmonary syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	piebaldism	0.04074	0.59757	1	0	1		piebaldism
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cartilage-hair hypoplasia	0.021719	0.7911	1	0	1		cartilage-hair hypoplasia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	ophthalmoplegia	0.042373	0.41449	1	0	1		ophthalmoplegia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	esotropia	-0.025917	0.092489	1	0	-1		esotropia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	astigmatism	0.0093262	0.81369	1	0	1		astigmatism
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	amblyopia	-0.0017364	1	1	0	-1		amblyopia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	corneal edema	-0.060441	0.079199	1	0	-1		corneal edema
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	acute closed-angle glaucoma	0.03274	0.55164	1	0	1		acute closed-angle glaucoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	kuhnt-junius degeneration	-0.0042261	0.98445	1	0	-1		kuhnt-junius degeneration
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hypertropia	0.026981	0.59999	1	0	1		hypertropia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	ureterolithiasis	0.0565	0.42358	1	0	1		ureterolithiasis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pediatric osteosarcoma	0.0090006	0.89562	1	0	1		pediatric osteosarcoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	congenital afibrinogenemia	0.041797	0.46696	1	0	1		congenital afibrinogenemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	sneddon syndrome	0.027694	0.4912	1	0	1		sneddon syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	intracranial embolism	0.047099	0.40493	1	0	1		intracranial embolism
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	antiphospholipid syndrome	-0.020091	0.83943	1	0	-1		antiphospholipid syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hepatic vein thrombosis	0.084186	0.19703	1	0	1		hepatic vein thrombosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	oophoritis	-0.032974	0.21856	1	0	-1		oophoritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	chikungunya	-0.0089654	0.83464	1	0	-1		chikungunya
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	variola major	0.02076	0.73281	1	0	1		variola major
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	nephropathia epidemica	0.021601	0.59536	1	0	1		nephropathia epidemica
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	glanders	-0.0021421	0.89549	1	0	-1		glanders
