dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Deafness	-0.0005088	0.61717	1	0	-1		Deafness
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Steatorrhea	9.4517e-05	0.5977	1	0	1		Steatorrhea
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Leukemia, Myeloid, Chronic-Phase	5.3972e-05	0.73056	1	0	1		Leukemia, Myeloid, Chronic-Phase
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Pneumocystis Infections	0.00011702	0.2729	1	0	1		Pneumocystis Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hepatitis A	0.00018343	0.21683	1	0	1		Hepatitis A
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Asthenia	0.0030189	0.76455	1	0	1		Asthenia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Urethral Obstruction	3.6043e-05	0.78329	1	0	1		Urethral Obstruction
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Melanoma	0.0068214	0.82697	1	0	1		Melanoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Biliary Tract Neoplasms	-4.6625e-05	0.87238	1	0	-1		Biliary Tract Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Skin Abnormalities	0.0023294	0.96356	1	0	1		Skin Abnormalities
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Periapical Diseases	0.00016253	0.28577	1	0	1		Periapical Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Poultry Diseases	-0.00032248	0.28312	1	0	-1		Poultry Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Headache Disorders, Primary	0.00048362	0.1964	1	0	1		Headache Disorders, Primary
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Fetal Hypoxia	0.0002996	0.47836	1	0	1		Fetal Hypoxia
