hsa-miR-4309|1	hsa-miR-3198|0.995276
hsa-miR-3201|1	hsa-miR-4791|0.995209
hsa-miR-920|1	hsa-miR-4300|0.995144
hsa-miR-1185|1	hsa-miR-3679-5p|0.995095
hsa-miR-675|1	hsa-miR-4466|0.995074
hsa-miR-1262|1	hsa-miR-4701-3p|0.994824
hsa-miR-3131|1	hsa-miR-611|0.994696
hsa-miR-632|1	hsa-miR-4288|0.994474
hsa-miR-590-5p|1	hsa-miR-21|0.994425
hsa-miR-1293|1	hsa-miR-4483|0.994333
hsa-miR-1538|1	hsa-miR-4745-3p|0.994226
hsa-miR-4645-5p|1	hsa-miR-4673|0.993975
hsa-miR-4516|1	hsa-miR-4434|0.993956
hsa-miR-1202|1	hsa-miR-3972|0.993808
hsa-miR-650|1	hsa-miR-3612|0.993491
hsa-miR-1302|1	hsa-miR-4298|0.992298
hsa-miR-4442|1	hsa-miR-3687|0.991385
hsa-miR-4270|1	hsa-miR-4441|0.99135
hsa-miR-4706|1	hsa-miR-4749-5p|0.991198
hsa-miR-297|1	hsa-miR-567|0.766849
hsa-miR-4638-5p|1	hsa-miR-1307|0.762421
hsa-miR-647|1	hsa-miR-604|0.761858
hsa-miR-1470|1	hsa-miR-4667-3p|0.761569
hsa-miR-590-3p|1	hsa-miR-4775|0.758501
hsa-miR-3191|1	hsa-miR-4652-5p|0.751149
hsa-miR-4437|1	hsa-miR-4674|0.73644
hsa-miR-874|1	hsa-miR-146b-3p|0.731204
hsa-miR-3653|1	hsa-miR-3658|0.724577
hsa-miR-2116|1	hsa-miR-4677-5p|0.723374
hsa-miR-576-5p|1	hsa-miR-4263|0.722026
hsa-miR-371b-5p|1	hsa-miR-371-5p|0.720685
hsa-miR-4755-5p|1	hsa-miR-4446-5p|0.71828
hsa-miR-4489|1	hsa-miR-4283|0.710729
hsa-miR-3188|1	hsa-miR-3975|0.709347
hsa-miR-548n|1
hsa-miR-298|1
hsa-miR-4301|1
hsa-miR-3120-5p|1
hsa-miR-656|1
hsa-miR-4680-3p|1
hsa-miR-3692|1
hsa-miR-4284|1
hsa-miR-4793-5p|1
hsa-miR-4794|1
hsa-miR-3074-5p|1
hsa-miR-4719|1
hsa-miR-622|1
hsa-miR-4308|1
hsa-miR-4254|1
hsa-miR-3664-3p|1
hsa-miR-4782-5p|1
hsa-miR-2110|1
hsa-miR-1343|1
hsa-miR-4761-5p|1
hsa-miR-4672|1
hsa-miR-4744|1
hsa-miR-3690|1
hsa-miR-4742-5p|1
hsa-miR-491-5p|1
hsa-miR-3157-5p|1
hsa-miR-3132|1
hsa-miR-4477a|1
hsa-miR-3607-3p|1
hsa-miR-4709-3p|1
hsa-miR-3919|1
hsa-miR-3545-3p|1
hsa-miR-4670-3p|1
hsa-miR-4713-5p|1
hsa-miR-3672|1
hsa-miR-4735-5p|1
hsa-miR-548k|1
hsa-miR-664|1
hsa-miR-4694-3p|1
hsa-miR-4778-5p|1
hsa-miR-4772-3p|1
hsa-miR-128|1
hsa-miR-205|1
hsa-miR-136|1
hsa-miR-4459|1
hsa-miR-296-5p|1
hsa-miR-149|1
hsa-miR-4793-3p|1
hsa-miR-4468|1
hsa-miR-122|1
hsa-miR-579|1
hsa-miR-4272|1
hsa-miR-4753-3p|1
hsa-miR-4769-3p|1
hsa-miR-556-3p|1
hsa-miR-4310|1
hsa-miR-3192|1
hsa-miR-3194-3p|1
hsa-miR-512-3p|1
hsa-miR-4307|1
hsa-miR-338-5p|1
hsa-miR-583|1
hsa-miR-4709-5p|1
hsa-miR-3182|1
hsa-miR-4778-3p|1
hsa-miR-513a-5p|1
hsa-miR-576-3p|1
hsa-miR-3925-3p|1
hsa-miR-1304|1
hsa-miR-890|1
hsa-miR-1324|1
hsa-miR-144|1
hsa-miR-548g|1
hsa-miR-570|1
hsa-miR-4760-3p|1
hsa-miR-548u|1
hsa-miR-1276|1
hsa-miR-942|1
hsa-miR-409-3p|1
hsa-miR-4756-3p|1
hsa-miR-4277|1
hsa-miR-4679|1
hsa-miR-3160-3p|1
hsa-miR-624|1
hsa-miR-3926|1
hsa-miR-513a-3p|1
hsa-miR-3647-3p|1
hsa-miR-543|1
hsa-miR-1237|1
hsa-miR-1248|1
hsa-miR-4436b-5p|1
hsa-miR-1245b-3p|1
hsa-miR-4714-5p|1
hsa-miR-3119|1
hsa-miR-767-3p|1
hsa-miR-182|1
hsa-miR-4660|1
hsa-miR-765|1
hsa-miR-4323|1
hsa-miR-2355-5p|1
hsa-miR-4446-3p|1
hsa-miR-335|1
hsa-miR-3670|1
hsa-miR-145|1
hsa-miR-3169|1
hsa-miR-4435|1
hsa-miR-4795-3p|1
hsa-miR-494|1
hsa-miR-3140-5p|1
hsa-miR-4738-3p|1
hsa-miR-3124-3p|1
hsa-miR-875-3p|1
hsa-miR-516b|1
hsa-miR-1206|1
hsa-miR-3145-5p|1
hsa-miR-516a-3p|1
hsa-miR-1272|1
hsa-miR-3174|1
hsa-miR-4480|1
hsa-miR-1207-3p|1
hsa-miR-3173-5p|1
hsa-miR-4531|1
hsa-miR-1273f|1
hsa-miR-3915|1
hsa-miR-676|1
hsa-miR-488|1
hsa-miR-580|1
hsa-miR-320e|1
hsa-miR-4457|1
hsa-miR-1299|1
hsa-miR-4503|1
hsa-miR-892a|1
hsa-miR-299-3p|1
hsa-miR-4269|1
hsa-miR-4690-5p|1
hsa-miR-3945|1
hsa-miR-4299|1
hsa-miR-3688-5p|1
hsa-miR-4708-3p|1
hsa-miR-4519|1
hsa-miR-1273g|1
